Hotel_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Hilo,US,82.26,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
10,Kirakira,SB,84.4,overcast clouds,-10.4544,161.9205,SanBiz Lodge
15,Patti,IN,80.55,clear sky,31.2808,74.8572,SOKHI NIWAS
22,Gat,IL,81.79,clear sky,31.61,34.7642,OlusHome
26,Georgetown,MY,81.9,thunderstorm,5.4112,100.3354,Cititel Penang
28,Butaritari,KI,82.81,few clouds,3.0707,172.7902,Isles Sunset Lodge
32,Jamestown,US,75.36,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
33,Coari,BR,78.91,broken clouds,-4.085,-63.1414,HOTEL ALEX FLAT
36,North Platte,US,90.01,scattered clouds,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
38,Salalah,OM,75.61,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
46,Bethel,US,78.42,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
48,Kapaa,US,84.18,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
53,Sabzevar,IR,80.44,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
55,Cabo San Lucas,MX,89.06,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
60,Mangrol,IN,81.59,broken clouds,21.1167,70.1167,Hotel The Royal Honours
65,Katsuura,JP,78.91,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
68,Labuhan,ID,79.52,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
74,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
75,Sawakin,SD,92.98,scattered clouds,19.1059,37.3321,فندق الدويم
76,Port Blair,IN,81.68,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
77,Sibolga,ID,76.91,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
78,Wad Madani,SD,79.63,overcast clouds,14.4012,33.5199,فندق يوغسلافيا
79,Kavaratti,IN,81.23,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
81,Atuona,PF,77.25,light rain,-9.8,-139.0333,Villa Enata
82,Hirara,JP,82.67,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
85,Alamosa,US,81.91,haze,37.4695,-105.87,Best Western Alamosa Inn
86,Douglas,US,85.93,clear sky,41.3,-96.167,Hilton Garden Inn Omaha West
89,Nacogdoches,US,89.31,overcast clouds,31.6002,-94.6335,The Fredonia Hotel & Convention Center
93,Iracoubo,GF,78.17,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
99,Isangel,VU,77.11,haze,-19.55,169.2667,Tanna Lodge
110,Qesarya,IL,82.99,clear sky,32.5189,34.9046,Dan Caesarea Resort - Happiness Is Around
115,Xapuri,BR,78.24,clear sky,-10.6517,-68.5044,Pousada dos Chapurys
116,Faanui,PF,78.28,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
119,Dhidhdhoo,MV,80.83,light rain,6.8833,73.1,Dhidhoo beach
121,Golden,US,83.25,broken clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
128,Buraydah,SA,88.25,scattered clouds,26.326,43.975,فندق راحة السلام
