City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Poum,NC,-20.2333,164.0167,70.56,67,100,5.99,overcast clouds
1,Marzuq,YE,14.4,46.4667,84.74,34,89,6.58,overcast clouds
2,Ostrovnoy,RU,68.0531,39.5131,54.27,79,5,9.55,clear sky
3,Yellowknife,CA,62.456,-114.3525,59.52,67,90,25.32,overcast clouds
4,Mataura,NZ,-46.1927,168.8643,38.48,89,100,1.39,overcast clouds
5,Maniitsoq,GL,65.4167,-52.9,41.41,92,100,2.37,light rain
6,Busselton,AU,-33.65,115.3333,58.05,91,89,3.42,overcast clouds
7,Hilo,US,19.7297,-155.09,82.26,80,68,3.0,broken clouds
8,Rikitea,PF,-23.1203,-134.9692,74.25,78,11,13.6,few clouds
9,Svetlogorsk,BY,52.6333,29.7333,55.35,95,2,5.01,clear sky
10,Kirakira,SB,-10.4544,161.9205,84.4,67,96,6.51,overcast clouds
11,Arraial Do Cabo,BR,-22.9661,-42.0278,69.66,68,0,13.8,clear sky
12,Montepuez,MZ,-13.1256,38.9997,62.58,89,10,5.21,clear sky
13,Bluff,NZ,-46.6,168.3333,38.8,78,100,3.47,overcast clouds
14,Mahebourg,MU,-20.4081,57.7,69.26,94,40,3.44,scattered clouds
15,Patti,IN,31.2808,74.8572,80.55,73,5,5.55,clear sky
16,Baie-Comeau,CA,49.2168,-68.1489,69.8,56,1,11.5,clear sky
17,Lebu,CL,-37.6167,-73.65,47.88,76,33,20.85,scattered clouds
18,Severo-Kurilsk,RU,50.6789,156.125,56.86,67,59,8.55,broken clouds
19,Ushuaia,AR,-54.8,-68.3,31.66,100,90,33.38,heavy snow
20,Hobart,AU,-42.8794,147.3294,44.26,79,0,1.99,clear sky
21,Dikson,RU,73.5069,80.5464,49.53,66,10,8.25,clear sky
22,Gat,IL,31.61,34.7642,81.79,100,8,6.08,clear sky
23,Port Hedland,AU,-20.3167,118.5667,66.25,22,16,11.5,few clouds
24,Hermanus,ZA,-34.4187,19.2345,49.89,73,91,4.59,overcast clouds
25,Zhezkazgan,KZ,47.8043,67.7144,71.06,55,39,7.29,scattered clouds
26,Georgetown,MY,5.4112,100.3354,81.9,87,20,2.3,thunderstorm
27,Albany,US,42.6001,-73.9662,77.52,84,100,3.2,overcast clouds
28,Butaritari,KI,3.0707,172.7902,82.81,65,13,14.09,few clouds
29,Airai,TL,-8.9266,125.4092,64.13,46,38,3.74,scattered clouds
30,Curup,ID,-3.4667,102.5333,69.22,96,20,2.13,few clouds
31,Tuktoyaktuk,CA,69.4541,-133.0374,44.6,81,90,13.8,overcast clouds
32,Jamestown,US,42.097,-79.2353,75.36,88,100,2.89,overcast clouds
33,Coari,BR,-4.085,-63.1414,78.91,65,59,3.51,broken clouds
34,Qaanaaq,GL,77.484,-69.3632,41.38,81,100,0.49,overcast clouds
35,Dongsheng,CN,39.8161,109.9776,66.85,62,100,14.45,moderate rain
36,North Platte,US,41.1239,-100.7654,90.01,30,44,3.0,scattered clouds
37,Vao,NC,-22.6667,167.4833,67.39,64,88,5.77,overcast clouds
38,Salalah,OM,17.0151,54.0924,75.61,92,100,5.23,overcast clouds
39,Barrow,US,71.2906,-156.7887,39.22,77,75,9.22,broken clouds
40,Torbay,CA,47.6666,-52.7314,68.58,88,75,19.57,broken clouds
41,Port Augusta,AU,-32.5,137.7667,53.71,55,0,5.17,clear sky
42,Flinders,AU,-34.5833,150.8552,56.21,78,77,4.0,broken clouds
43,Punta Arenas,CL,-53.15,-70.9167,35.71,80,40,23.02,scattered clouds
44,Egvekinot,RU,66.3167,-179.1667,38.23,73,88,17.38,overcast clouds
45,Mar Del Plata,AR,-38.0023,-57.5575,51.82,82,0,11.5,clear sky
46,Bethel,US,41.3712,-73.414,78.42,77,100,6.24,overcast clouds
47,Namibe,AO,-15.1961,12.1522,67.57,86,63,4.52,broken clouds
48,Kapaa,US,22.0752,-159.319,84.18,78,49,5.01,scattered clouds
49,Nikolskoye,RU,59.7035,30.7861,65.01,99,99,4.59,overcast clouds
50,Laguna,US,38.421,-121.4238,100.2,23,40,8.05,smoke
51,Notse,TG,6.95,1.1667,73.17,94,100,4.09,overcast clouds
52,Sorland,NO,67.667,12.6934,58.96,70,95,15.73,overcast clouds
53,Sabzevar,IR,36.2126,57.6819,80.44,20,0,5.06,clear sky
54,Saint-Philippe,RE,-21.3585,55.7679,67.55,81,39,12.19,light rain
55,Cabo San Lucas,MX,22.8909,-109.9124,89.06,72,95,11.83,overcast clouds
56,Coquimbo,CL,-29.9533,-71.3436,56.93,71,90,8.05,overcast clouds
57,Cidreira,BR,-30.1811,-50.2056,61.07,91,1,12.46,clear sky
58,Cherskiy,RU,68.75,161.3,63.09,37,71,6.64,broken clouds
59,Hofn,IS,64.2539,-15.2082,55.9,83,100,9.6,overcast clouds
60,Mangrol,IN,21.1167,70.1167,81.59,78,83,9.53,broken clouds
61,Kenai,US,60.5544,-151.2583,63.03,90,90,9.22,overcast clouds
62,Aykhal,RU,66.0,111.5,55.09,75,100,7.65,overcast clouds
63,Lavrentiya,RU,65.5833,-171.0,47.44,72,98,19.75,overcast clouds
64,Saint-Gabriel,CA,46.3001,-73.3824,69.84,88,48,3.24,scattered clouds
65,Katsuura,JP,35.1333,140.3,78.91,97,100,24.0,overcast clouds
66,Costa Rica,BR,-23.4167,-54.65,68.72,43,0,7.31,clear sky
67,Sambava,MG,-14.2667,50.1667,68.0,87,54,7.99,broken clouds
68,Labuhan,ID,-6.8844,112.2051,79.52,81,69,7.27,broken clouds
69,Sfantu Gheorghe,RO,45.8667,25.7833,54.82,80,1,2.68,clear sky
70,Tessalit,ML,20.1986,1.0114,87.67,39,37,18.48,scattered clouds
71,Puerto Ayora,EC,-0.7393,-90.3518,70.56,86,69,8.01,broken clouds
72,Flin Flon,CA,54.7682,-101.865,69.35,82,96,1.83,overcast clouds
73,Ancud,CL,-41.8697,-73.8203,44.42,84,34,6.44,scattered clouds
74,Vaini,TO,-21.2,-175.2,75.36,64,75,6.91,broken clouds
75,Sawakin,SD,19.1059,37.3321,92.98,47,25,3.74,scattered clouds
76,Port Blair,IN,11.6667,92.75,81.68,83,100,13.31,overcast clouds
77,Sibolga,ID,1.7427,98.7792,76.91,85,89,3.56,overcast clouds
78,Wad Madani,SD,14.4012,33.5199,79.63,73,88,15.17,overcast clouds
79,Kavaratti,IN,10.5669,72.642,81.23,78,100,20.96,overcast clouds
80,Kruisfontein,ZA,-34.0033,24.7314,56.26,31,86,6.2,overcast clouds
81,Atuona,PF,-9.8,-139.0333,77.25,81,53,13.58,light rain
82,Hirara,JP,24.8,125.2833,82.67,94,75,17.27,broken clouds
83,De-Kastri,RU,51.4667,140.7833,57.6,70,100,13.58,overcast clouds
84,Odesskoye,RU,54.2111,72.9651,61.81,87,100,3.27,overcast clouds
85,Alamosa,US,37.4695,-105.87,81.91,12,1,13.8,haze
86,Douglas,US,41.3,-96.167,85.93,78,1,3.44,clear sky
87,Saskylakh,RU,71.9167,114.0833,58.01,63,100,8.37,overcast clouds
88,Te Anau,NZ,-45.4167,167.7167,38.57,88,99,5.06,light rain
89,Nacogdoches,US,31.6002,-94.6335,89.31,75,90,3.22,overcast clouds
90,Qaqortoq,GL,60.7167,-46.0333,46.9,94,100,7.56,light rain
91,Ulundi,ZA,-28.3352,31.4162,53.24,89,3,4.0,clear sky
92,Kiskunfelegyhaza,HU,46.7121,19.8446,67.95,55,1,8.79,light rain
93,Iracoubo,GF,5.4802,-53.2011,78.17,84,95,2.98,overcast clouds
94,Sept-Iles,CA,50.2001,-66.3821,68.52,62,75,3.0,broken clouds
95,Ossora,RU,59.2353,163.0719,55.4,73,83,17.47,broken clouds
96,Port Elizabeth,ZA,-33.918,25.5701,52.09,100,96,3.44,fog
97,Talnakh,RU,69.4865,88.3972,61.38,50,51,2.19,broken clouds
98,Ilulissat,GL,69.2167,-51.1,40.06,75,76,6.24,broken clouds
99,Isangel,VU,-19.55,169.2667,77.11,65,75,6.91,haze
100,Gravdal,NO,68.1214,13.5031,58.69,69,96,9.31,overcast clouds
101,Lata,PT,40.1629,-8.3327,61.21,98,33,3.02,scattered clouds
102,Lamballe,FR,48.4676,-2.5144,57.07,92,35,3.0,scattered clouds
