City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,New Norfolk,AU,-42.7826,147.0587,41.72,75,3,1.99
1,Pevek,RU,69.7008,170.3133,39.24,86,7,10.18
2,Port Macquarie,AU,-31.4333,152.9167,49.96,85,3,4.7
3,Mar Del Plata,AR,-38.0023,-57.5575,50.02,100,90,8.05
4,Hobart,AU,-42.8794,147.3294,42.06,79,20,3.44
5,Corrales,US,35.2378,-106.6067,75.97,45,1,3.0
6,East London,ZA,-33.0153,27.9116,67.14,59,0,8.05
7,La Rioja,ES,42.25,-2.5,71.04,36,30,10.58
8,Penzance,GB,50.1186,-5.5371,62.76,82,40,20.71
9,Balsas,BR,-7.5325,-46.0356,81.3,41,15,13.58
10,Huarmey,PE,-10.0681,-78.1522,62.46,88,58,8.46
11,Faya,SA,18.3851,42.4509,79.32,41,78,7.72
12,Port Alfred,ZA,-33.5906,26.891,65.86,63,6,9.62
13,Chuy,UY,-33.6971,-53.4616,58.12,83,22,5.77
14,Pontianak,ID,-0.0333,109.3333,87.78,79,20,5.75
15,Kieta,PG,-6.2167,155.6333,79.61,82,76,8.61
16,Mataura,NZ,-46.1927,168.8643,36.48,99,100,1.81
17,Dali,CN,25.7,100.1833,69.64,84,82,5.39
18,Blackwater,AU,-23.5833,148.8833,57.29,36,0,7.43
19,Geraldton,AU,-28.7667,114.6,64.81,82,90,6.91
20,Ribeira Grande,PT,38.5167,-28.7,73.8,60,40,11.5
21,Anadyr,RU,64.75,177.4833,43.3,75,0,2.24
22,Souillac,MU,-20.5167,57.5167,75.58,60,40,12.66
23,Albany,US,42.6001,-73.9662,69.46,90,100,1.99
24,Banda Aceh,ID,5.5577,95.3222,82.33,75,84,11.99
25,Bluff,NZ,-46.6,168.3333,36.81,72,98,2.62
26,High Level,CA,58.5169,-117.136,55.51,94,90,0.0
27,Krasnogorskoye,RU,52.2953,86.1979,74.35,57,53,2.37
28,Korla,CN,41.7597,86.1469,93.02,17,1,14.16
29,Mafinga,TZ,-7.25,35.0667,85.96,27,8,4.32
30,Rikitea,PF,-23.1203,-134.9692,73.92,79,16,6.55
31,Biltine,TD,14.5333,20.9167,89.02,49,85,13.91
32,Hilo,US,19.7297,-155.09,74.93,85,90,6.91
33,Saldanha,ZA,-33.0117,17.9442,62.65,50,88,2.1
34,Athabasca,CA,54.7169,-113.2854,49.82,72,73,5.77
35,Nyurba,RU,63.2842,118.3319,60.28,94,100,4.99
36,Mon,IN,26.75,95.1,76.1,98,99,1.45
37,Kharan,PK,28.5833,65.4167,108.19,6,0,15.41
38,Punta Arenas,CL,-53.15,-70.9167,35.62,80,75,23.02
39,Tukan,RU,53.8409,57.4552,68.47,39,67,10.04
40,Busselton,AU,-33.65,115.3333,62.04,94,99,17.9
41,Thomaston,US,32.8882,-84.3266,72.09,95,1,1.01
42,Provideniya,RU,64.3833,-173.3,44.74,84,100,3.13
43,Bambous Virieux,MU,-20.3428,57.7575,75.45,60,40,12.66
44,Bose,IT,45.4612,8.0137,77.76,81,99,1.36
45,College,US,64.8569,-147.8028,62.55,90,90,5.75
46,Lagunas,PE,-5.2269,-75.6753,70.21,74,5,1.21
47,Sobolevo,RU,54.4299,31.8996,69.42,80,99,11.81
48,Likasi,CD,-10.9814,26.7333,83.35,15,5,6.62
49,Ushuaia,AR,-54.8,-68.3,31.66,86,90,9.22
