City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Puerto Ayora,EC,2021-08-02 17:17:10,-0.7393,-90.3518,78.76,80,86,11.92
1,Vaini,TO,2021-08-02 17:15:20,-21.2,-175.2,68.16,77,20,11.5
2,Upernavik,GL,2021-08-02 17:17:10,72.7868,-56.1549,46.11,66,1,5.55
3,Bosaso,SO,2021-08-02 17:17:10,11.2842,49.1816,92.28,45,16,12.88
4,Hilo,US,2021-08-02 17:13:01,19.7297,-155.09,73.13,84,90,5.75
5,Santa Isabel Do Rio Negro,BR,2021-08-02 17:17:11,-0.4139,-65.0192,84.76,52,85,3.85
6,Clyde River,CA,2021-08-02 17:15:11,70.4692,-68.5914,46.63,76,20,12.66
7,Deniliquin,AU,2021-08-02 17:17:11,-35.5333,144.9667,46.99,89,99,14.29
8,Bengkulu,ID,2021-08-02 17:17:12,-3.8004,102.2655,75.33,90,50,3.04
9,Port Alfred,ZA,2021-08-02 17:17:12,-33.5906,26.891,57.83,78,75,15.68
10,Atbasar,KZ,2021-08-02 17:17:12,51.8,68.3333,73.22,46,66,6.91
11,Hermanus,ZA,2021-08-02 17:17:12,-34.4187,19.2345,61.9,87,0,9.19
12,Lorengau,PG,2021-08-02 17:16:40,-2.0226,147.2712,81.1,81,18,9.1
13,Cabo San Lucas,MX,2021-08-02 17:15:09,22.8909,-109.9124,93.81,46,75,4.61
14,Rikitea,PF,2021-08-02 17:14:53,-23.1203,-134.9692,68.61,56,71,23.13
15,Hobart,AU,2021-08-02 17:14:59,-42.8794,147.3294,46.26,80,100,1.99
16,Punta Arenas,CL,2021-08-02 17:14:50,-53.15,-70.9167,46.51,57,0,27.63
17,Mar Del Plata,AR,2021-08-02 17:16:13,-38.0023,-57.5575,60.1,53,0,17.0
18,Faanui,PF,2021-08-02 17:17:13,-16.4833,-151.75,79.59,66,91,12.66
19,Yellowknife,CA,2021-08-02 17:17:14,62.456,-114.3525,82.92,39,40,13.8
20,Cascais,PT,2021-08-02 17:17:14,38.6979,-9.4215,75.25,70,20,8.99
21,Mae Sai,TH,2021-08-02 17:17:14,20.4335,99.8762,72.72,98,99,2.06
22,Beringovskiy,RU,2021-08-02 17:17:15,63.05,179.3167,42.82,95,100,30.58
23,Rovaniemi,FI,2021-08-02 17:17:15,66.5,25.7167,60.21,36,0,3.44
24,Kruisfontein,ZA,2021-08-02 17:15:42,-34.0033,24.7314,55.89,93,49,9.33
25,Chuy,UY,2021-08-02 17:15:05,-33.6971,-53.4616,58.68,74,31,6.73
26,Hambantota,LK,2021-08-02 17:17:16,6.1241,81.1185,79.48,80,100,19.08
27,Praya,CV,2021-08-02 17:17:16,14.9215,-23.5087,82.94,65,20,14.97
28,Saldanha,ZA,2021-08-02 17:17:09,-33.0117,17.9442,58.33,80,0,9.55
29,Tiksi,RU,2021-08-02 17:17:16,71.6872,128.8694,47.26,68,27,2.19
30,Atar,MR,2021-08-02 17:16:29,20.5169,-13.0499,101.28,24,57,13.35
31,Tuktoyaktuk,CA,2021-08-02 17:17:17,69.4541,-133.0374,55.4,82,75,8.05
32,Brentwood,US,2021-08-02 17:17:17,40.7812,-73.2462,80.1,57,75,4.0
33,Barra Do Garcas,BR,2021-08-02 17:13:30,-15.89,-52.2567,93.02,22,0,4.54
34,Geraldton,AU,2021-08-02 17:17:17,-28.7667,114.6,46.81,87,5,11.5
35,Kapaa,US,2021-08-02 17:15:04,22.0752,-159.319,79.12,75,20,5.01
36,Iqaluit,CA,2021-08-02 17:15:01,63.7506,-68.5145,46.13,100,90,4.61
37,Qaanaaq,GL,2021-08-02 17:17:18,77.484,-69.3632,45.34,64,100,4.47
38,Cherskiy,RU,2021-08-02 17:15:58,68.75,161.3,33.44,93,66,11.95
39,Hithadhoo,MV,2021-08-02 17:17:18,-0.6,73.0833,80.78,75,95,5.39
40,Butaritari,KI,2021-08-02 17:17:18,3.0707,172.7902,82.58,73,73,8.5
41,Mackenzie,CA,2021-08-02 17:17:19,55.2999,-123.1698,66.42,82,20,4.61
42,Ishigaki,JP,2021-08-02 17:17:19,24.3448,124.1572,81.68,86,100,17.47
43,Barrow,US,2021-08-02 17:17:19,71.2906,-156.7887,44.62,87,90,10.36
44,East London,ZA,2021-08-02 17:16:14,-33.0153,27.9116,58.14,82,40,5.75
45,Alofi,NU,2021-08-02 17:17:20,-19.0595,-169.9187,73.29,73,75,10.36
46,San Patricio,US,2021-08-02 17:17:20,28.017,-97.5169,94.01,41,67,5.3
47,Mangrol,IN,2021-08-02 17:17:20,21.1167,70.1167,81.91,81,100,20.27
48,Nexo,DK,2021-08-02 17:17:21,55.0607,15.1306,66.29,67,28,21.59
49,Puerto Carreno,CO,2021-08-02 17:13:20,6.189,-67.4859,72.63,93,100,9.06
50,Thompson,CA,2021-08-02 17:17:11,55.7435,-97.8558,71.76,56,40,5.75
51,Atuona,PF,2021-08-02 17:15:16,-9.8,-139.0333,77.27,77,41,17.74
52,Norman Wells,CA,2021-08-02 17:17:21,65.282,-126.8329,69.84,64,20,2.3
53,Carnarvon,AU,2021-08-02 17:17:22,-24.8667,113.6333,50.07,42,0,10.36
54,Sohag,EG,2021-08-02 17:17:22,26.557,31.6948,99.05,12,0,8.72
55,Nikko,JP,2021-08-02 17:17:22,36.75,139.6167,73.96,99,97,3.02
56,Svetlaya,RU,2021-08-02 17:16:32,46.5389,138.3297,63.99,92,100,8.93
57,Yei,SS,2021-08-02 17:17:23,4.095,30.6779,68.45,91,64,1.9
58,Longyearbyen,SJ,2021-08-02 17:17:23,78.2186,15.6401,46.24,76,75,13.8
59,Karapyshi,UA,2021-08-02 17:17:23,49.6424,30.79,74.62,64,59,8.05
60,Tarragona,ES,2021-08-02 17:17:23,41.129,1.249,83.5,58,20,4.61
61,Itupiranga,BR,2021-08-02 17:17:24,-5.1347,-49.3267,95.32,26,30,3.31
62,Labuhan,ID,2021-08-02 17:17:24,-6.8844,112.2051,76.93,84,30,8.5
63,Kavieng,PG,2021-08-02 17:15:16,-2.5744,150.7967,82.2,78,12,13.06
